# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-1.7013471e+00   2.7039406e-01   2.7039406e-01   2.7039406e-01   2.7039406e-01   2.7039406e-01   2.7039406e-01
-1.6993241e+00   2.7333134e-01   2.7333134e-01   2.7333134e-01   2.7333134e-01   2.7333134e-01   2.7333134e-01
-1.6973106e+00   2.762686e-01   2.762686e-01   2.762686e-01   2.762686e-01   2.762686e-01   2.762686e-01
-1.6953064e+00   2.792059e-01   2.792059e-01   2.792059e-01   2.792059e-01   2.792059e-01   2.792059e-01
-1.6933113e+00   2.8214315e-01   2.8214315e-01   2.8214315e-01   2.8214315e-01   2.8214315e-01   2.8214315e-01
-1.6913254e+00   2.8652498e-01   2.8652498e-01   2.8652498e-01   2.8652498e-01   2.8652498e-01   2.8652498e-01
-1.6893486e+00   2.9169354e-01   2.9169354e-01   2.9169354e-01   2.9169354e-01   2.9169354e-01   2.9169354e-01
-1.6873806e+00   2.9686213e-01   2.9686213e-01   2.9686213e-01   2.9686213e-01   2.9686213e-01   2.9686213e-01
-1.6854216e+00   3.0203068e-01   3.0203068e-01   3.0203068e-01   3.0203068e-01   3.0203068e-01   3.0203068e-01
-1.6834713e+00   3.0719927e-01   3.0719927e-01   3.0719927e-01   3.0719927e-01   3.0719927e-01   3.0719927e-01
-1.6815298e+00   3.1236786e-01   3.1236786e-01   3.1236786e-01   3.1236786e-01   3.1236786e-01   3.1236786e-01
-1.6795969e+00   3.175364e-01   3.175364e-01   3.175364e-01   3.175364e-01   3.175364e-01   3.175364e-01
-1.6776726e+00   3.22705e-01   3.22705e-01   3.22705e-01   3.22705e-01   3.22705e-01   3.22705e-01
-1.6757567e+00   3.278736e-01   3.278736e-01   3.278736e-01   3.278736e-01   3.278736e-01   3.278736e-01
-1.6738493e+00   3.3304214e-01   3.3304214e-01   3.3304214e-01   3.3304214e-01   3.3304214e-01   3.3304214e-01
-1.6719502e+00   3.3821073e-01   3.3821073e-01   3.3821073e-01   3.3821073e-01   3.3821073e-01   3.3821073e-01
-1.6700594e+00   3.4337932e-01   3.4337932e-01   3.4337932e-01   3.4337932e-01   3.4337932e-01   3.4337932e-01
-1.6681768e+00   3.4854788e-01   3.4854788e-01   3.4854788e-01   3.4854788e-01   3.4854788e-01   3.4854788e-01
-1.6663023e+00   3.539231e-01   3.539231e-01   3.539231e-01   3.539231e-01   3.539231e-01   3.539231e-01
-1.6644359e+00   3.606778e-01   3.606778e-01   3.606778e-01   3.606778e-01   3.606778e-01   3.606778e-01
-1.6625775e+00   3.674325e-01   3.674325e-01   3.674325e-01   3.674325e-01   3.674325e-01   3.674325e-01
-1.6607269e+00   3.741872e-01   3.741872e-01   3.741872e-01   3.741872e-01   3.741872e-01   3.741872e-01
-1.6588843e+00   3.809419e-01   3.809419e-01   3.809419e-01   3.809419e-01   3.809419e-01   3.809419e-01
